bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason
145.34,119,145.34293609080507,0.741,1.1,1.1,Null
145.12,118,145.11880324637258,0.749,0.9,1.1,Null
144.91,120,144.90694406150592,0.707,1.1,0.9,Null
144.71,121,144.70786102606553,0.682,0.95,1.1,Null
144.52,121,144.52165083595517,0.706,0.95,0.95,Null
144.35,119,144.3486592313311,0.717,0.95,0.95,Null
144.19,121,144.1888261290097,0.691,1.15,0.95,Null
144.04,122,144.0422034564899,0.65,1,1.15,Null
143.91,122,143.9089059393009,0.675,1,1,Null
143.79,120,143.78907323880458,0.685,1,1,Null
143.68,121,143.68228510034237,0.655,1.15,1,Null
143.59,121,143.58813044391013,0.679,0.9,1.15,Null
143.51,120,143.50620108864172,0.691,1.1,0.9,Null
143.44,121,143.4360874527107,0.65,0.95,1.1,Null
143.38,121,143.37695960777947,0.676,0.95,0.95,Null
143.33,120,143.3283880683473,0.697,0.95,0.95,Null
143.29,121,143.28967715401163,0.664,1.15,0.95,Null
143.26,122,143.26036226367685,0.641,1,1.15,Null
143.24,122,143.24014712320013,0.653,1,1,Null
143.23,120,143.2288534729903,0.662,1,1,Null
143.23,122,143.2258269765138,0.642,1.2,1,Null
143.23,121,143.2304921086433,0.661,0.9,1.2,Null
143.24,121,143.24233662852225,0.679,1.1,0.9,Null
143.26,122,143.2608989767792,0.65,0.95,1.1,row_2
143.29,121,143.2852038381676,0.676,0.95,0.95,Null
143.31,120,143.3147557049863,0.687,0.95,0.95,Null
143.35,122,143.34885917672014,0.648,1.2,0.95,Null
143.39,123,143.38710348886616,0.626,0.9,1.2,row_2
143.43,122,143.42928982936982,0.646,1.2,0.9,Null
143.48,124,143.475372382282,0.617,0.95,1.2,row_2
143.52,123,143.52471701734902,0.637,0.95,0.95,Null
143.58,122,143.57710883551755,0.658,1.2,0.95,Null
143.63,123,143.6318047495738,0.628,0.95,1.2,row_2
143.69,123,143.688390688959,0.648,0.95,0.95,Null
143.75,122,143.74669983596544,0.668,1.15,0.95,Null
143.81,123,143.8060507816403,0.638,1,1.15,row_2
143.87,122,143.8661015853534,0.667,1,1,Null
143.93,121,143.92676466595094,0.687,1,1,Null
143.99,123,143.9875805407353,0.649,1.2,1,Null
144.05,122,144.04824962586332,0.67,0.9,1.2,Null
144.11,121,144.1085962464058,0.697,1.15,0.9,Null
144.17,122,144.16853899771158,0.667,0.95,1.15,row_2
144.23,122,144.2275086975604,0.679,0.95,0.95,Null
144.29,121,144.28543613276568,0.691,1.15,0.95,Null
144.34,122,144.34191959424476,0.668,1,1.15,row_2
144.4,121,144.3968872420658,0.688,1,1,Null
144.45,121,144.45050983413321,0.709,1,1,Null
144.5,122,144.50257084384276,0.685,1.2,1,Null
144.55,121,144.55299934766913,0.698,0.9,1.2,Null
144.6,120,144.60183343994834,0.717,1.15,0.9,Null
